item_topic,source_topic,age_segment,dt,Others,Top and Other,record_id,visits
Деньги,Авто,18-25,9/24/2019 6:32:00 PM,Others,Авто,1040597,3
Деньги,Авто,18-25,9/24/2019 6:35:00 PM,Others,Авто,1040598,1
Деньги,Авто,18-25,9/24/2019 6:54:00 PM,Others,Авто,1040599,4
Деньги,Авто,18-25,9/24/2019 6:55:00 PM,Others,Авто,1040600,17
Деньги,Авто,18-25,9/24/2019 6:56:00 PM,Others,Авто,1040601,27
Деньги,Авто,18-25,9/24/2019 6:57:00 PM,Others,Авто,1040602,22
Деньги,Авто,18-25,9/24/2019 6:58:00 PM,Others,Авто,1040603,24
Деньги,Авто,18-25,9/24/2019 6:59:00 PM,Others,Авто,1040604,20
Деньги,Авто,18-25,9/24/2019 7:00:00 PM,Others,Авто,1040605,5
Деньги,Авто,26-30,9/24/2019 6:29:00 PM,Others,Авто,1040606,1
Деньги,Авто,26-30,9/24/2019 6:30:00 PM,Others,Авто,1040607,1
Деньги,Авто,26-30,9/24/2019 6:31:00 PM,Others,Авто,1040608,1
Деньги,Авто,26-30,9/24/2019 6:32:00 PM,Others,Авто,1040609,1
Деньги,Авто,26-30,9/24/2019 6:54:00 PM,Others,Авто,1040610,4
Деньги,Авто,26-30,9/24/2019 6:55:00 PM,Others,Авто,1040611,13
Деньги,Авто,26-30,9/24/2019 6:56:00 PM,Others,Авто,1040612,18
Деньги,Авто,26-30,9/24/2019 6:57:00 PM,Others,Авто,1040613,15
Деньги,Авто,26-30,9/24/2019 6:58:00 PM,Others,Авто,1040614,13
Деньги,Авто,26-30,9/24/2019 6:59:00 PM,Others,Авто,1040615,13
Деньги,Авто,26-30,9/24/2019 7:00:00 PM,Others,Авто,1040616,5
Деньги,Авто,31-35,9/24/2019 6:30:00 PM,Others,Авто,1040617,1
Деньги,Авто,31-35,9/24/2019 6:54:00 PM,Others,Авто,1040618,1
Деньги,Авто,31-35,9/24/2019 6:55:00 PM,Others,Авто,1040619,4
Деньги,Авто,31-35,9/24/2019 6:56:00 PM,Others,Авто,1040620,10
Деньги,Авто,31-35,9/24/2019 6:57:00 PM,Others,Авто,1040621,9
Деньги,Авто,31-35,9/24/2019 6:58:00 PM,Others,Авто,1040622,14
Деньги,Авто,31-35,9/24/2019 6:59:00 PM,Others,Авто,1040623,11
Деньги,Авто,31-35,9/24/2019 7:00:00 PM,Others,Авто,1040624,6
Деньги,Авто,36-40,9/24/2019 6:30:00 PM,Others,Авто,1040625,1
Деньги,Авто,36-40,9/24/2019 6:32:00 PM,Others,Авто,1040626,1
Деньги,Авто,36-40,9/24/2019 6:52:00 PM,Others,Авто,1040627,1
Деньги,Авто,36-40,9/24/2019 6:54:00 PM,Others,Авто,1040628,1
Деньги,Авто,36-40,9/24/2019 6:55:00 PM,Others,Авто,1040629,4
Деньги,Авто,36-40,9/24/2019 6:56:00 PM,Others,Авто,1040630,10
Деньги,Авто,36-40,9/24/2019 6:57:00 PM,Others,Авто,1040631,8
Деньги,Авто,36-40,9/24/2019 6:58:00 PM,Others,Авто,1040632,7
Деньги,Авто,36-40,9/24/2019 6:59:00 PM,Others,Авто,1040633,6
Деньги,Авто,36-40,9/24/2019 7:00:00 PM,Others,Авто,1040634,3
Деньги,Авто,41-45,9/24/2019 6:29:00 PM,Others,Авто,1040635,2
Деньги,Авто,41-45,9/24/2019 6:30:00 PM,Others,Авто,1040636,1
Деньги,Авто,41-45,9/24/2019 6:33:00 PM,Others,Авто,1040637,1
Деньги,Авто,41-45,9/24/2019 6:55:00 PM,Others,Авто,1040638,1
Деньги,Авто,41-45,9/24/2019 6:56:00 PM,Others,Авто,1040639,2
Деньги,Авто,41-45,9/24/2019 6:57:00 PM,Others,Авто,1040640,5
Деньги,Авто,41-45,9/24/2019 6:58:00 PM,Others,Авто,1040641,2
Деньги,Авто,41-45,9/24/2019 6:59:00 PM,Others,Авто,1040642,1
Деньги,Авто,45+,9/24/2019 6:54:00 PM,Others,Авто,1040643,1
Деньги,Авто,45+,9/24/2019 6:55:00 PM,Others,Авто,1040644,1
Деньги,Авто,45+,9/24/2019 6:56:00 PM,Others,Авто,1040645,3
Деньги,Авто,45+,9/24/2019 6:57:00 PM,Others,Авто,1040646,2
Деньги,Авто,45+,9/24/2019 6:58:00 PM,Others,Авто,1040647,9
Деньги,Авто,45+,9/24/2019 7:00:00 PM,Others,Авто,1040648,1
Деньги,Деньги,18-25,9/24/2019 6:32:00 PM,Others,Другие,1040649,2
Деньги,Деньги,18-25,9/24/2019 6:33:00 PM,Others,Другие,1040650,1
Деньги,Деньги,18-25,9/24/2019 6:53:00 PM,Others,Другие,1040651,1
Деньги,Деньги,18-25,9/24/2019 6:54:00 PM,Others,Другие,1040652,3
Деньги,Деньги,18-25,9/24/2019 6:55:00 PM,Others,Другие,1040653,14
Деньги,Деньги,18-25,9/24/2019 6:56:00 PM,Others,Другие,1040654,18
Деньги,Деньги,18-25,9/24/2019 6:57:00 PM,Others,Другие,1040655,23
Деньги,Деньги,18-25,9/24/2019 6:58:00 PM,Others,Другие,1040656,15
Деньги,Деньги,18-25,9/24/2019 6:59:00 PM,Others,Другие,1040657,13
Деньги,Деньги,18-25,9/24/2019 7:00:00 PM,Others,Другие,1040658,7
Деньги,Деньги,26-30,9/24/2019 6:55:00 PM,Others,Другие,1040659,3
Деньги,Деньги,26-30,9/24/2019 6:56:00 PM,Others,Другие,1040660,6
Деньги,Деньги,26-30,9/24/2019 6:57:00 PM,Others,Другие,1040661,4
Деньги,Деньги,26-30,9/24/2019 6:58:00 PM,Others,Другие,1040662,5
Деньги,Деньги,26-30,9/24/2019 6:59:00 PM,Others,Другие,1040663,8
Деньги,Деньги,26-30,9/24/2019 7:00:00 PM,Others,Другие,1040664,2
Деньги,Деньги,31-35,9/24/2019 6:30:00 PM,Others,Другие,1040665,1
Деньги,Деньги,31-35,9/24/2019 6:31:00 PM,Others,Другие,1040666,1
Деньги,Деньги,31-35,9/24/2019 6:33:00 PM,Others,Другие,1040667,1
Деньги,Деньги,31-35,9/24/2019 6:54:00 PM,Others,Другие,1040668,4
Деньги,Деньги,31-35,9/24/2019 6:55:00 PM,Others,Другие,1040669,1
Деньги,Деньги,31-35,9/24/2019 6:56:00 PM,Others,Другие,1040670,4
Деньги,Деньги,31-35,9/24/2019 6:57:00 PM,Others,Другие,1040671,8
Деньги,Деньги,31-35,9/24/2019 6:58:00 PM,Others,Другие,1040672,9
Деньги,Деньги,31-35,9/24/2019 6:59:00 PM,Others,Другие,1040673,6
Деньги,Деньги,36-40,9/24/2019 6:28:00 PM,Others,Другие,1040674,1
Деньги,Деньги,36-40,9/24/2019 6:55:00 PM,Others,Другие,1040675,3
Деньги,Деньги,36-40,9/24/2019 6:56:00 PM,Others,Другие,1040676,6
Деньги,Деньги,36-40,9/24/2019 6:58:00 PM,Others,Другие,1040677,5
Деньги,Деньги,36-40,9/24/2019 6:59:00 PM,Others,Другие,1040678,6
Деньги,Деньги,36-40,9/24/2019 7:00:00 PM,Others,Другие,1040679,1
Деньги,Деньги,41-45,9/24/2019 6:29:00 PM,Others,Другие,1040680,1
Деньги,Деньги,41-45,9/24/2019 6:54:00 PM,Others,Другие,1040681,3
Деньги,Деньги,41-45,9/24/2019 6:55:00 PM,Others,Другие,1040682,2
Деньги,Деньги,41-45,9/24/2019 6:56:00 PM,Others,Другие,1040683,5
Деньги,Деньги,41-45,9/24/2019 6:57:00 PM,Others,Другие,1040684,2
Деньги,Деньги,41-45,9/24/2019 6:58:00 PM,Others,Другие,1040685,1
Деньги,Деньги,41-45,9/24/2019 6:59:00 PM,Others,Другие,1040686,1
Деньги,Деньги,45+,9/24/2019 6:56:00 PM,Others,Другие,1040687,2
Деньги,Деньги,45+,9/24/2019 6:57:00 PM,Others,Другие,1040688,2
Деньги,Деньги,45+,9/24/2019 6:58:00 PM,Others,Другие,1040689,2
Деньги,Дети,18-25,9/24/2019 6:28:00 PM,Others,Дети,1040690,1
Деньги,Дети,18-25,9/24/2019 6:29:00 PM,Others,Дети,1040691,2
Деньги,Дети,18-25,9/24/2019 6:30:00 PM,Others,Дети,1040692,2
Деньги,Дети,18-25,9/24/2019 6:31:00 PM,Others,Дети,1040693,5
Деньги,Дети,18-25,9/24/2019 6:32:00 PM,Others,Дети,1040694,10
Деньги,Дети,18-25,9/24/2019 6:33:00 PM,Others,Дети,1040695,3
Деньги,Дети,18-25,9/24/2019 6:53:00 PM,Others,Дети,1040696,1
Деньги,Дети,18-25,9/24/2019 6:54:00 PM,Others,Дети,1040697,11
Деньги,Дети,18-25,9/24/2019 6:55:00 PM,Others,Дети,1040698,33
Деньги,Дети,18-25,9/24/2019 6:56:00 PM,Others,Дети,1040699,66
Деньги,Дети,18-25,9/24/2019 6:57:00 PM,Others,Дети,1040700,72
Деньги,Дети,18-25,9/24/2019 6:58:00 PM,Others,Дети,1040701,71
Деньги,Дети,18-25,9/24/2019 6:59:00 PM,Others,Дети,1040702,61
Деньги,Дети,18-25,9/24/2019 7:00:00 PM,Others,Дети,1040703,15
Деньги,Дети,26-30,9/24/2019 6:30:00 PM,Others,Дети,1040704,2
Деньги,Дети,26-30,9/24/2019 6:31:00 PM,Others,Дети,1040705,1
Деньги,Дети,26-30,9/24/2019 6:53:00 PM,Others,Дети,1040706,4
Деньги,Дети,26-30,9/24/2019 6:54:00 PM,Others,Дети,1040707,6
Деньги,Дети,26-30,9/24/2019 6:55:00 PM,Others,Дети,1040708,12
Деньги,Дети,26-30,9/24/2019 6:56:00 PM,Others,Дети,1040709,33
Деньги,Дети,26-30,9/24/2019 6:57:00 PM,Others,Дети,1040710,25
Деньги,Дети,26-30,9/24/2019 6:58:00 PM,Others,Дети,1040711,25
Деньги,Дети,26-30,9/24/2019 6:59:00 PM,Others,Дети,1040712,33
Деньги,Дети,26-30,9/24/2019 7:00:00 PM,Others,Дети,1040713,9
Деньги,Дети,31-35,9/24/2019 6:28:00 PM,Others,Дети,1040714,1
Деньги,Дети,31-35,9/24/2019 6:30:00 PM,Others,Дети,1040715,4
Деньги,Дети,31-35,9/24/2019 6:31:00 PM,Others,Дети,1040716,2
Деньги,Дети,31-35,9/24/2019 6:33:00 PM,Others,Дети,1040717,1
Деньги,Дети,31-35,9/24/2019 6:34:00 PM,Others,Дети,1040718,3
Деньги,Дети,31-35,9/24/2019 6:52:00 PM,Others,Дети,1040719,1
Деньги,Дети,31-35,9/24/2019 6:53:00 PM,Others,Дети,1040720,1
Деньги,Дети,31-35,9/24/2019 6:54:00 PM,Others,Дети,1040721,9
Деньги,Дети,31-35,9/24/2019 6:55:00 PM,Others,Дети,1040722,18
Деньги,Дети,31-35,9/24/2019 6:56:00 PM,Others,Дети,1040723,20
Деньги,Дети,31-35,9/24/2019 6:57:00 PM,Others,Дети,1040724,42
Деньги,Дети,31-35,9/24/2019 6:58:00 PM,Others,Дети,1040725,24
Деньги,Дети,31-35,9/24/2019 6:59:00 PM,Others,Дети,1040726,30
Деньги,Дети,31-35,9/24/2019 7:00:00 PM,Others,Дети,1040727,12
Деньги,Дети,36-40,9/24/2019 6:28:00 PM,Others,Дети,1040728,1
Деньги,Дети,36-40,9/24/2019 6:30:00 PM,Others,Дети,1040729,2
Деньги,Дети,36-40,9/24/2019 6:33:00 PM,Others,Дети,1040730,1
Деньги,Дети,36-40,9/24/2019 6:53:00 PM,Others,Дети,1040731,1
Деньги,Дети,36-40,9/24/2019 6:54:00 PM,Others,Дети,1040732,6
Деньги,Дети,36-40,9/24/2019 6:55:00 PM,Others,Дети,1040733,17
Деньги,Дети,36-40,9/24/2019 6:56:00 PM,Others,Дети,1040734,16
Деньги,Дети,36-40,9/24/2019 6:57:00 PM,Others,Дети,1040735,21
Деньги,Дети,36-40,9/24/2019 6:58:00 PM,Others,Дети,1040736,33
